# label: Ichidan Verbs (Simple)
# Single-stem ichidan (一段) verbs — 食べる, 見る, 考える… Dictionary forms only;
# verb+verb / noun+verb compounds live in compound.tsv; conjugations in
# grammar-pattern/verb-conjugation.
kanji	hiragana	type	english	breakdown
拗ねる	すねる	ichidan-verb	to sulk; to be peevish	[拗: sulk/be twisted]
捕まえる	つかまえる	ichidan-verb	to catch; to capture	[捕: catch/capture]
攻める	せめる	ichidan-verb	to attack; to assault	[攻: attack/assault]
更ける	ふける	ichidan-verb	to grow late (night)	[更: grow late/renew]
束ねる	たばねる	ichidan-verb	to bundle; to tie up	[束: bundle/tie]
応じる	おうじる	ichidan-verb	to respond; to comply with	[応: respond/comply]
求める	もとめる	ichidan-verb	to seek; to request; to demand	[求: seek/request]
泊める	とめる	ichidan-verb	to put up (a guest); to give lodging	[泊: lodge/put up]
混ぜる	まぜる	ichidan-verb	to mix; to stir in	[混: mix]
滅びる	ほろびる	ichidan-verb	to perish; to die out	[滅: perish/die out]
演じる	えんじる	ichidan-verb	to perform; to act (a role)	[演: perform/act]
乱れる	みだれる	ichidan-verb	to be disordered; to be disturbed	[乱: be disordered/disturbed]
奏でる	かなでる	ichidan-verb	to play (a musical instrument)	[奏: play (music)]
流れる	ながれる	ichidan-verb	to flow; to stream; to drift	[流: flow/stream]
溢れる	あふれる	ichidan-verb	to overflow; to brim with	[溢: overflow]
照れる	てれる	ichidan-verb	to be shy; to feel embarrassed	[照: be shy/illuminate]
甘える	あまえる	ichidan-verb	to act spoiled; to presume on another's kindness	[甘: act spoiled/sweet]
疲れる	つかれる	ichidan-verb	to get tired; to be worn out	[疲: get tired]
破れる	やぶれる	ichidan-verb	to be torn; to wear out	[破: be torn/break]
暴れる	あばれる	ichidan-verb	to rampage; to act violently	[暴: rampage/be violent]
秀でる	ひいでる	ichidan-verb	to excel; to surpass	[秀: excel/surpass]
締める	しめる	ichidan-verb	to fasten; to tighten; to tie	[締: fasten/tighten]
与える	あたえる	ichidan-verb	to give; to grant; to cause	[与: give/grant]
縮める	ちぢめる	ichidan-verb	to shorten; to reduce	[縮: shorten/reduce]
苛める	いじめる	ichidan-verb	to bully; to torment	[苛: bully/torment]
薦める	すすめる	ichidan-verb	to recommend	[薦: recommend]
訪れる	おとずれる	ichidan-verb	to visit; to arrive (of a season)	[訪: visit]
訪ねる	たずねる	ichidan-verb	to visit; to call on	[訪: visit/call on]
責める	せめる	ichidan-verb	to blame; to criticize	[責: blame/criticize]
跳ねる	はねる	ichidan-verb	to bounce; to hop; to splash	[跳: bounce/hop]
踏まえる	ふまえる	ichidan-verb	to be based on; to take into account	[踏: be based on/tread]
蓄える	たくわえる	ichidan-verb	to store up; to save; to accumulate	[蓄: store up/accumulate]
診る	みる	ichidan-verb	to examine (medically)	[診: examine (medically)]
閉じる	とじる	ichidan-verb	to close; to shut	[閉: close/shut]
駆ける	かける	ichidan-verb	to run; to gallop; to rush	[駆: run/gallop]
呆れる	あきれる	ichidan-verb	to be amazed; to be dumbfounded	[呆: be amazed/dumbfounded]
憂える	うれえる	ichidan-verb	to grieve; to worry about	[憂: grieve/worry]
沈める	しずめる	ichidan-verb	to sink (something); to submerge	[沈: sink/submerge]
別れる	わかれる	ichidan-verb	to separate; to part; to break up	[別: separate/part]
固める	かためる	ichidan-verb	to harden; to solidify; to strengthen	[固: harden/solidify]
届ける	とどける	ichidan-verb	to deliver; to report; to send	[届: deliver/report]
恥じる	はじる	ichidan-verb	to feel ashamed	[恥: feel ashamed/shame]
換える	かえる	ichidan-verb	to exchange; to replace	[換: exchange/replace]
晴れる	はれる	ichidan-verb	to clear up; to become sunny	[晴: clear up/become sunny]
欠ける	かける	ichidan-verb	to be lacking; to be missing; to chip	[欠: be lacking/missing]
納める	おさめる	ichidan-verb	to pay; to store; to deliver	[納: pay/store]
薄める	うすめる	ichidan-verb	to dilute; to water down	[薄: dilute/water down]
超える	こえる	ichidan-verb	to exceed; to surpass	[超: exceed/surpass]
辞める	やめる	ichidan-verb	to quit; to resign	[辞: quit/resign]
逃げる	にげる	ichidan-verb	to escape; to flee	[逃: escape/flee]
透ける	すける	ichidan-verb	to be transparent; to show through	[透: be transparent/show through]
恐れる	おそれる	ichidan-verb	to fear; to be afraid of	[恐: fear/be afraid]
投げる	なげる	ichidan-verb	to throw; to toss	[投: throw/toss]
裂ける	さける	ichidan-verb	to split; to tear (intransitive)	[裂: split/tear]
