# abstract kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
素	ソ、ス		element; bare; plain	糸	いと	龶、糸	10	5
密	ミツ		dense; secret; minute	宀	うかんむり	宀、宓	11	6
麗	レイ	うるわ(しい)	lovely; beautiful	鹿	しか	丽、鹿	19
漠	バク		vague; desert; wide	氵	さんずい	氵、莫	13
又		また	again; also; or	又	また		2
也	ヤ	なり	to be (classical); (phonetic ya)	乙	おつ		3
羅	ラ		thin silk; gauze; to arrange	罒	あみがしら	罒、維	19
鬱	ウツ		depression; gloom; dense	鬯	においざけ	林、缶、鬯、彡	29
我	ガ	われ、わ	I; self; ego	戈	ほこ	手、戈	7	6
孔	コウ		hole; opening; Confucius	子	こへん	子、乚	4
采	サイ		dice; form; appearance	釆	のごめ	爫、木	8
循	ジュン		to follow; circulation	彳	ぎょうにんべん	彳、盾	12
寧	ネイ		peaceful; rather; preferably	宀	うかんむり	宀、心、皿、丁	14
畔	ハン		ridge between fields; shore	田	たへん	田、半	10
媛	エン	ひめ	beautiful woman; princess; (name)	女	おんなへん	女、爰	12
慢	マン		ridicule; laziness; arrogance	忄	りっしんべん	忄、曼	14
隆	リュウ		prosperous; high; noble	阝	こざとへん	阝、夅、生	11
陵	リョウ	みささぎ	mausoleum; hill	阝	こざとへん	阝、夌	11
曖	アイ		dark; vague; obscure	日	ひへん	日、愛	17
璧	ヘキ		jewel; ball; perfect	玉	たま	辟、玉	18
阜	フ		hill; abundant; (Gifu)	阜	おか		8
亜	ア		Asia; sub-; rank next	二	に		7
為	イ		to do; for the sake of; reason	灬	れっか	丶、勹、灬	9
惟	イ、ユイ		to think; consider; only	忄	りっしんべん	忄、隹	11
維	イ		fiber; rope; to maintain	糸	いとへん	糸、隹	14
緯	イ		latitude; weft; woof	糸	いとへん	糸、韋	16
遺	イ、ユイ		to bequeath; to leave behind	辶	しんにょう	貴、辶	15	6
逸	イツ		to deviate; to excel; to lose	辶	しんにょう	兎、辶	11
陰	イン	かげ、かげ(る)	shade; shadow; yin; negative	阝	こざとへん	阝、今、云	11
益	エキ、ヤク		benefit; profit; gain	皿	さら	䒑、八、皿	10	5
沿	エン	そ(う)	to run along; to follow	氵	さんずい	氵、㕣	8	6
縁	エン	ふち	edge; relation; fate	糸	いとへん	糸、彖	15
於	オ		at; in; on (classical)	方	ほうへん	方、㫃、二	8
凹	オウ	くぼ(む)	concave; hollow; dent	凵	うけばこ		5
往	オウ		journey; to go; past	彳	ぎょうにんべん	彳、主	8	5
旺	オウ		flourishing; vigorous	日	ひへん	日、王	8
伽	カ、ガ	とぎ	nursing; attending; fairy (tale)	亻	にんべん	亻、加	7
佳	カ		excellent; beautiful; good	亻	にんべん	亻、圭	8
嘉	カ		excellent; auspicious; to praise	口	くち	壴、加	14
嫁	カ	よめ、とつ(ぐ)	bride; to marry (of woman)	女	おんなへん	女、家	13
寡	カ		few; widow; alone	宀	うかんむり	宀、頁、刀	14
架	カ	か(ける)、か(かる)	to construct; to span; rack	木	き	加、木	9
禍	カ		calamity; misfortune; evil	礻	しめすへん	礻、咼	13
雅	ガ		elegant; graceful; refined	隹	ふるとり	牙、隹	13
塊	カイ	かたまり	lump; clod; mass	土	つちへん	土、鬼	13
魁	カイ	さきがけ	pioneer; chief; large	鬼	おに	鬼、斗	14
凱	ガイ		victory; triumph; (name)	几	つくえ	豈、几	12
劾	ガイ		to censure; to impeach	力	ちから	亥、力	8
涯	ガイ		shore; bound; end; limit	氵	さんずい	氵、厓	11
該	ガイ		that; the said; to correspond	言	ごんべん	言、亥	13
嚇	カク		to threaten; to scold; anger	口	くちへん	口、赤、赤	17
核	カク		core; nucleus; kernel	木	きへん	木、亥	10
殻	カク	から	husk; shell; hull	殳	るまた	壳、殳	11
郭	カク		enclosure; quarter; outline	阝	おおざと	享、阝	11
隔	カク	へだ(てる)、へだ(たる)	to isolate; to separate	阝	こざとへん	阝、鬲	13
岳	ガク	たけ	peak; mountain; high	山	やま	丘、山	8
渇	カツ	かわ(く)	thirst; to dry up; to crave	氵	さんずい	氵、曷	11
褐	カツ		brown; dark; humble	衤	ころもへん	衤、曷	13
轄	カツ		to control; linchpin; jurisdiction	車	くるまへん	車、害	17
且	ショ	か(つ)	moreover; and; for the time being	一	いち		5
褒	ホウ	ほ(める)	to praise; to commend	衣	ころも	保、衣	15
翔	ショウ	か(ける)、と(ぶ)	to soar; to fly	羽	はね	羊、羽	12
莉	リ		jasmine; (name)	艹	くさかんむり	艹、利	10
渥	アク		kindness; moisten; thick; (name)	氵	さんずい	氵、屋	12
衛	エイ		defense; protection	行	ぎょうがまえ	行、韋	16	5
謁	エツ		audience (with king); to see	言	ごんべん	言、曷	15
閲	エツ		to review; to inspect; to read	門	もんがまえ	門、兌	15
宴	エン		banquet; feast; party	宀	うかんむり	宀、晏	10
卸	シャ	おろ(す)、おろし	wholesale; to sell wholesale	卩	ふしづくり	午、止、卩	9
陥	カン	おちい(る)、おとしい(れる)	to fall into; to capture	阝	こざとへん	阝、臽	10
伎	キ		deed; skill; kabuki	亻	にんべん	亻、支	6
幾	キ	いく	how many; how much; some	幺	いとがしら	幺、幺、戈	12
既	キ	すで(に)	already; previously	旡	すでのつくり	皀、旡	10
棋	キ		go (game); shogi; chess	木	きへん	木、其	12
棄	キ		to abandon; to discard; to throw away	木	き	亠、厶、木	13
稀	キ、ケ	まれ	rare; uncommon; sparse	禾	のぎへん	禾、希	12
軌	キ		rut; track; rail; course	車	くるまへん	車、九	9
飢	キ	う(える)	hunger; to starve	食	しょくへん	飠、几	10
騎	キ		to ride (horse); cavalry; counter	馬	うまへん	馬、奇	18
宜	ギ		best; suitable; reasonable	宀	うかんむり	宀、且	8
犠	ギ		sacrifice	牛	うしへん	牜、義	17
凶	キョウ		evil; bad luck; calamity	凵	うけばこ	凵、㐅	4
暁	ギョウ	あかつき	dawn; daybreak	日	ひへん	日、尭	12
興	コウ、キョウ	おこ(る)、おこ(す)	to rise; to revive; interest	臼	うす	舁、同	16	5
玖	キュウ、ク		nine (formal); black jade; (name)	王	おうへん	王、久	7
矩	ク		carpenter's square; rule; (name)	矢	やへん	矢、巨	10
遇	グウ		to treat; to entertain; to meet	辶	しんにょう	禺、辶	12
勲	クン		merit; meritorious deed	力	ちから	熏、力	15
袈	ケ、ケサ		(Buddhist) surplice; kasaya	衣	ころも	加、衣	11
刑	ケイ		punishment; penalty; sentence	刂	りっとう	开、刂	6
啓	ケイ		to enlighten; to open; (name)	口	くち	戸、攵、口	11
圭	ケイ		square jewel; jade tablet; (name)	土	つち	土、土	6
系	ケイ		system; lineage; descent	糸	いと	丿、糸	7	6
傑	ケツ		greatness; excellence; hero	亻	にんべん	亻、桀	13
兼	ケン	か(ねる)	to combine; concurrently; and	八	はち	䒑、ヨ、八	10
圏	ケン		sphere; circle; range	囗	くにがまえ	囗、巻	12
堅	ケン	かた(い)	hard; solid; firm	土	つち	臤、土	12
幻	ゲン	まぼろし	phantom; illusion; vision	幺	いとがしら	幺、乚	4
弧	コ		arc; bow; curve	弓	ゆみへん	弓、瓜	9
坑	コウ		pit; hole; mine shaft	土	つちへん	土、亢	7
宏	コウ		vast; wide; (name)	宀	うかんむり	宀、厷	7
弘	コウ	ひろ(い)	vast; broad; to spread; (name)	弓	ゆみへん	弓、厶	5
溝	コウ	みぞ	ditch; gutter; gap	氵	さんずい	氵、冓	13
衡	コウ		balance; scale; to weigh	行	ぎょうがまえ	行、角、大	16
購	コウ		to subscribe; to purchase	貝	かい	貝、冓	17
酵	コウ		fermentation; yeast; leaven	酉	とりへん	酉、孝	14
項	コウ		clause; paragraph; item; nape	頁	おおがい	工、頁	12	6
剛	ゴウ		sturdy; strong; hard	刂	りっとう	岡、刂	10
克	コク		to overcome; to conquer	儿	ひとあし	十、兄	7
穀	コク		cereals; grain	禾	のぎ	𣪊、禾	14	6
酷	コク		cruel; severe; harsh	酉	とりへん	酉、告	14
墾	コン		to reclaim (land); to cultivate	土	つち	貇、土	16
洪	コウ		flood; vast	氵	さんずい	氵、共	9
晃	コウ		clear; bright; (name)	日	ひ	日、光	10
紘	コウ		vast; cord; (name)	糸	いとへん	糸、厷	10
欣	キン		joy; (name)	欠	あくび	斤、欠	8
欽	キン		respect; imperial; (name)	欠	あくび	金、欠	12
吟	ギン		to recite; to chant; to moan	口	くちへん	口、今	7
寛	カン		tolerant; lenient; generous	宀	うかんむり	宀、莧	13
緩	カン	ゆる(い)、ゆる(む)、ゆる(やか)	loose; slack; gentle	糸	いとへん	糸、爰	15
閑	カン		leisure; quiet; tranquil	門	もんがまえ	門、木	12
謹	キン	つつし(む)	respectfully; to be reverent	言	ごんべん	言、堇	17
娯	ゴ		pleasure; enjoyment; recreation	女	おんなへん	女、呉	10
梧	ゴ		Chinese parasol tree; (name)	木	きへん	木、吾	11
瑚	ゴ、コ		coral	王	おうへん	王、胡	13
碁	ゴ		go (board game)	石	いし	其、石	13
哉	サイ		(classical exclamation); (name)	口	くち	𢦏、口	9
栽	サイ		to plant; plantation	木	き	𢦏、木	10
祉	シ		welfare; happiness	礻	しめすへん	礻、止	8
至	シ	いた(る)	to reach; utmost; to arrive	至	いたる		6	6
飼	シ	か(う)	to raise (animals); to keep	食	しょくへん	飠、司	13	5
爾	ジ		you; that; (classical)	爻	こう	爻、冂	14
舎	シャ		hut; house; dwelling	人	ひとやね	𠆢、舌	8	5
斜	シャ	なな(め)	diagonal; slanting; oblique	斗	とます	余、斗	11
釈	シャク		explanation; to release; Buddha	釆	のごめへん	釆、尺	11
需	ジュ		demand; request; necessary	雨	あめかんむり	雨、而	14
宗	シュウ、ソウ		religion; sect; head	宀	うかんむり	宀、示	8	6
就	シュウ、ジュ	つ(く)、つ(ける)	to take up; to settle into	尢	だいのまげあし	京、尤	12	6
洲	シュウ	す	continent; sandbank	氵	さんずい	氵、州	9
酬	シュウ		reward; repayment; reply	酉	とりへん	酉、州	13
縦	ジュウ	たて	vertical; length; indulgent	糸	いとへん	糸、従	16	6
獣	ジュウ	けもの	beast; animal	犬	いぬ	䒑、田、犬	16	6
叔	シュク		uncle; aunt; younger	又	また	尗、又	8
淑	シュク		graceful; gentle; pure	氵	さんずい	氵、叔	11
粛	シュク		solemn; quietly; reverently	聿	ふでづくり	聿、米	11
塾	ジュク		private school; cram school	土	つち	孰、土	14
熟	ジュク	う(れる)	to ripen; to mature; mellow	灬	れっか	孰、灬	15	6
准	ジュン		quasi-; semi-; to approve	冫	にすい	冫、隹	10
旬	ジュン、シュン		ten-day period; in season	日	ひ	勹、日	6
殉	ジュン		to follow even in death; martyrdom	歹	がつへん	歹、旬	10
盾	ジュン	たて	shield; pretext	目	め	厂、十、目	9
曙	ショ	あけぼの	dawn; daybreak; (name)	日	ひへん	日、署	17
庶	ショ		commoner; all; various	广	まだれ	广、龶、灬	11
叙	ジョ		to confer; to describe; preface	又	また	余、又	9
序	ジョ		preface; order; precedence	广	まだれ	广、予	7	5
徐	ジョ		slowly; gradually	彳	ぎょうにんべん	彳、余	10
匠	ショウ		artisan; craftsman; idea	匚	はこがまえ	匚、斤	6
升	ショウ	ます	sho (unit ~1.8L); measuring box	十	じゅう	丿、廾	4
奨	ショウ		to encourage; to recommend	大	だい	将、大	13	6
宵	ショウ	よい	evening; early night	宀	うかんむり	宀、肖	10
尚	ショウ		esteem; still; furthermore	小	しょう	⺌、冋	8
彰	ショウ		clear; obvious; to manifest	彡	さんづくり	章、彡	14
抄	ショウ		extract; copy; to paraphrase	扌	てへん	扌、少	7
捷	ショウ		victory; nimble; fast; (name)	扌	てへん	扌、疌	11
昌	ショウ		prosperous; flourishing; (name)	日	ひ	日、日	8
祥	ショウ		auspicious; good omen	礻	しめすへん	礻、羊	10
肖	ショウ		resemblance; portrait; to resemble	月	にくづき	⺌、月	7
訟	ショウ		to sue; lawsuit; dispute	言	ごんべん	言、公	11
詔	ショウ	みことのり	imperial edict; decree	言	ごんべん	言、召	12
剰	ジョウ		surplus; besides; moreover	刂	りっとう	乗、刂	11
壌	ジョウ		soil; earth; ground	土	つちへん	土、襄	16
浄	ジョウ		clean; pure; purification	氵	さんずい	氵、争	9	6
穣	ジョウ		abundant harvest; bountiful; (name)	禾	のぎへん	禾、襄	18
嘱	ショク		to entrust; to request	口	くちへん	口、属	15
審	シン		to investigate; trial; hearing	宀	うかんむり	宀、番	15	6
甚	ジン	はなは(だ)、はなは(だしい)	very; greatly; intense	甘	あまい	甘、匹	9
迅	ジン		swift; rapid; fast	辶	しんにょう	卂、辶	6
垂	スイ	た(れる)、た(らす)	to hang down; to suspend	土	つち	龶、十、一	8	6
